id,period,dur,title,client,location,branch,desc
0,since 12/2025,ongoing,Autonomous AI agent systems — Harness & Agentic Engineering,Solytics GmbH,Remote,AI / SaaS,"Building and running autonomous LLM agent systems as a **harness engineer** — the engineering around the model, not the model itself. The harness is the product: the **agent loop** and its stop conditions, **tool use over MCP**, layered **memory** (durable facts, running context, session state), **approval gates** for anything irreversible, **quality gates** that must pass before an agent may ship, **observability** over every run, **budget and rate-limit control** with model routing and fallback, plus recovery when a run is killed mid-flight. A local multi-model proxy keeps the whole thing independent of any single provider. Two systems in production: a self-directing AI business partner that plans, writes code, tests and deploys around the clock, and **Fabrik** ([fabrikhq.com](https://fabrikhq.com)), a multi-agent platform for autonomous software delivery with parallel worker agents. Event-driven orchestration over Telegram, GitHub and systemd; several AI-built SaaS products shipped end to end."
1,07/2024–06/2025,12 months,Digital property profile for owners,verkaufe.immobilien,Remote,Internet,"Full-stack development of a digital property profile that owners create and maintain themselves: Vue.js front-end, Python back-end (Eve) with a REST API and MongoDB. Day-to-day GitLab work (version control, merge-request and review workflow); built and maintained the GitLab CI pipelines for automated build and deployment. Worked to DevOps principles, owning build and operation of the services in Docker. Test-driven development, automated end-to-end tests with Playwright."
2,07/2022–04/2024,22 months,"Front- and back-end, heating cost billing",Brunata,Remote,Industry,"Production server-side services and APIs in Java and Spring Boot: a microservice that parses and generates heating-cost files in the Haweiko-Arge industry format. Designed and built in a microservices architecture with REST interfaces (OpenAPI, Swagger), secured with Spring Security and Keycloak, persisted in MongoDB. Day-to-day GitLab work (version control, merge-request and review workflow); built and maintained the GitLab CI pipelines for automated build and deployment. Worked to DevOps principles, owning build and operation of the services in Docker. Test-driven development (JUnit, Mockito), automated end-to-end tests with Playwright. Front-end development."
3,01/2022–06/2022,6 months,Payment back-end migration Java EE → Spring Boot,Condor,Remote,Marketing,"Migrated an EJB-based Java EE payment back-end to Spring Boot and shipped it as a Docker container."
4,04/2021–11/2021,8 months,Software and data analysis in marketing,DigitalMarketer.com,Remote,Marketing,"Server-side services in Java and Spring Boot: web-scraping microservices plus microsites (Vue.js, Quasar) with a Spring Boot back-end for calculators, surveys and questionnaire funnels; data analysis in R. Designed and built in a microservices architecture with REST interfaces (OpenAPI, Feign), persisted in PostgreSQL and MongoDB. Day-to-day GitLab work (version control, merge-request and review workflow); built and maintained the GitLab CI pipelines. Worked to DevOps principles, owning build and operation of the services in Docker and Kubernetes. Test-driven development (JUnit, Mockito)."
5,01/2021–03/2021,3 months,Marketing campaign tooling,DigitalMarketer.com,Remote,Marketing,"Tools that generate marketing campaigns and publish them to Google Ads and Twitter Ads: Java/Spring Boot microservices with REST interfaces (OpenAPI, Feign), Vue.js/Quasar front-end, storage in AWS S3. Designed and built in a microservices architecture. Day-to-day GitLab work (version control, merge-request and review workflow); built and maintained the GitLab CI pipelines. Worked to DevOps principles, owning build and operation of the services in Docker and Kubernetes. Test-driven development (JUnit, Mockito)."
6,12/2019–12/2020,13 months,Web-based configuration of telecommunications devices,Deutsche Telekom,Darmstadt/Remote,Telecommunications,"Took over an existing prototype for configuring telecommunications devices over a web interface, developed it further and moved it into production. Production server-side services and APIs in Java and Spring Boot in a microservices architecture (REST, Feign, Spring Data/JPA), Vue.js front-end, secured with Keycloak, persisted in MySQL and MongoDB. Worked to DevOps principles, owning build, operation and monitoring of the services: Docker and Kubernetes (Rancher), logging and tracing via Kibana, Sleuth and Zipkin. Day-to-day GitLab work (version control, merge-request and review workflow); built and maintained the GitLab CI pipelines for automated build and deployment. Test-driven development (JUnit, Mockito)."
7,07/2019–12/2019,6 months,Training a stock-trading agent,JiGaoTrading,Remote,Finance,"An agent that trades autonomously on Chinese stock exchanges (reinforcement learning)."
8,04/2019–08/2019,5 months,Data analysis and modelling at a consumer cooperative,Co-operative Group (Coop),Manchester,"Finance, Retail","Exploratory data analysis, data cleaning, aggregation; unsupervised learning (clustering, feature reduction)."
9,11/2018–03/2019,5 months,Image homogeneity of product niches from product photos,Sellics,Remote,E-commerce,"A model that quantifies the image homogeneity of Amazon product niches to spot under-served niches early. Trained a ResNet50 CNN with transfer learning (Keras) and deployed it through a build pipeline as a Java microservice with DeepLearning4J into the existing landscape; prepared a Kafka data pipeline for continuous retraining."
