id,period,dur,title,client,location,branch,roles,desc,tech
0,seit 12/2025,laufend,Autonome KI-Agenten-Systeme — Harness & Agentic Engineering,Solytics GmbH,Remote,KI / SaaS,Harness Engineering; Agent Engineering; KI-Systemarchitektur; Fullstack-Entwicklung; DevOps,"Aufbau autonomer KI-Agenten-Systeme auf LLM-Basis als **Harness Engineer**: das Gerüst um das Modell — Agenten-Loop, Tool-Use / MCP, Freigabe-Gates, Memory, Observability und Budget-Steuerung — nicht das Modell selbst. Zwei produktive Systeme: ein selbststeuernder KI-Geschäftspartner, der rund um die Uhr plant, Code schreibt, testet und deployt, sowie **Fabrik** ([fabrikhq.com](https://fabrikhq.com)), eine Multi-Agenten-Plattform für autonome Softwareentwicklung mit parallelen Worker-Agenten. Ereignisgesteuerte Orchestrierung über Telegram, GitHub und systemd; mehrere KI-gebaute SaaS-Produkte end-to-end ausgeliefert.",Claude / Anthropic API; LLM-Agenten; Agent Harness; Multi-Agent-Orchestration; Tool Use / MCP; RAG; Prompt Engineering; Python; FastAPI; Vue 3; Go; Docker; systemd; GitHub Actions; DigitalOcean; SQLite; TDD
1,07/2024–06/2025,12 Monate,Digitale Immobilien-Visitenkarte für Eigentümer,verkaufe.immobilien,Remote,Internet,Fullstack-Entwicklung; Konzeption; DevOps,"Fullstack-Entwicklung einer digitalen Immobilien-Visitenkarte: Vue.js-Frontend, Python-Backend. Eigentümer erstellen und verwalten die Visitenkarte selbst.",Python; Python Eve; MongoDB; TDD; Vue.js; Docker; GitLab; GitLab CI; REST; Playwright
2,07/2022–04/2024,22 Monate,"Front- & Backend, Heizkostenabrechnung",Brunata,Remote,Industrie,Fullstack-Entwicklung; Konzeption; DevOps,Microservice zum Parsing und Erzeugen von Heizkostendateien (Haweiko-Arge-Standard). Absicherung der Microservices mit Keycloak. Vue.js-Frontend.,Java; Spring Boot; MongoDB; JUnit; TDD; React; Docker; GitLab; GitLab CI; Spring Security; Keycloak; Mockito; OpenAPI; Swagger; REST; Microservices; Playwright
3,01/2022–06/2022,6 Monate,Migration Payment-Backend Java EE → Spring Boot,Condor,Remote,Marketing,Backend-Entwicklung,"EJB-basiertes Java-EE-Payment-Backend nach Spring Boot migriert, als Docker-Container bereitgestellt.",Java; Java EE; JPA; Spring Boot; MySQL; Docker; Mockito; JUnit; TDD
4,04/2021–11/2021,8 Monate,Software & Datenanalyse im Marketing,DigitalMarketer.com,Remote,Marketing,Fullstack-Entwicklung; Prototyping; Konzeption; Data Analysis,"Webscraping-Microservices in Spring Boot; Microsites in Vue.js + Spring-Boot-Backend für Berechnungstools, Umfragen, Questionnaire-Funnels; Datenanalyse in R.",Scrum; Spring Boot; Docker; Kubernetes; Microservices; REST; R; Python; Java; OpenAPI; Feign; JUnit; TDD; Mockito; Vue.js; Quasar; MongoDB; dplyr; GitLab CI; GitLab; PostgreSQL; Python Eve; Python Flask; DigitalOcean; Webscraping; A/B Testing; Topic Modeling
5,01/2021–03/2021,3 Monate,Marketing-Kampagnen-Tools,DigitalMarketer.com,Remote,Marketing,Fullstack-Entwicklung; Konzeption,Tools zur Generierung von Marketing-Kampagnen und Publikation auf Google Ads / Twitter Ads.,Scrum; Spring Boot; Docker; Kubernetes; Microservices; REST; Java; OpenAPI; Feign; JUnit; TDD; Mockito; Vue.js; Quasar; AWS S3; GitLab CI; GitLab
6,12/2019–12/2020,13 Monate,Konfiguration von Telekommunikationsendgeräten über Webschnittstelle,Deutsche Telekom,Darmstadt/Remote,Telekommunikation,DevOps; Build- & Konfigurationsmanagement; Fullstack-Entwicklung,Bestehenden Prototyp weiterentwickelt und in den Produktionsbetrieb überführt.,Spring Boot; Docker; Kubernetes; Microservices; REST; Spring Data; JPA; JUnit; TDD; Mockito; Vue.js; MySQL; MongoDB; HTML; CSS; GitLab; GitLab CI; Rancher; Kibana; Feign; Keycloak; Sleuth; Zipkin
7,07/2019–12/2019,6 Monate,Training eines Agenten zum Aktienhandel,JiGaoTrading,Remote,Finanz,Machine Learning; Data Analysis,"Agent, der eigenständig an chinesischen Börsen handelt (Reinforcement Learning).",Reinforcement Learning; Python; R; Docker; AWS S3; OpenAI Gym; GitLab; seaborn; AWS SageMaker; MongoDB
8,04/2019–08/2019,5 Monate,Datenanalyse & Modellierung bei einer Verbraucher-Genossenschaft,Co-operative Group (Coop),Manchester,"Finanz, Einzelhandel",Machine Learning; Data Analysis,"Explorative Datenanalyse, Datenbereinigung, Aggregation; unüberwachtes Lernen (Clustering, Feature-Reduktion).",R; Python; Jupyter; RMarkdown; ggplot; scikit-learn; pandas; numpy; dplyr; k-means; PCA; t-SNE; Docker; Git
9,11/2018–03/2019,5 Monate,Bildhomogenität von Produktnischen aus Produktfotos,Sellics,Remote,E-Commerce,Machine Learning; Data Analysis,"Modell zur Quantifizierung der Bildhomogenität von Amazon-Produktnischen, um unterversorgte Nischen früh zu erkennen. ResNet50-CNN mit Transfer Learning (Keras) trainiert, über eine Build-Pipeline mit DeepLearning4J als Java-Microservice in die bestehende Landschaft deployt; Kafka-Datenpipeline für kontinuierliches Nachtraining vorbereitet.",Python; Keras; ResNet50; Transfer Learning; CNN; DeepLearning4J; Java; Kafka; Microservices; Docker
